Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-February-2021,16400.00,16531.05,16024.60,16099.20,16201.359076345155231466,9051,3526,146638501.00,4625,51.10,506.45,-300.80
19-February-2021,16395.00,16477.60,16214.45,16386.10,16336.320062316081010905,5777,2431,94374921.00,2482,42.96,263.15,-8.90
18-February-2021,17050.00,17050.00,16307.00,16374.15,16484.235504339581358033,13711,3533,226015353.00,9858,71.90,743.00,-675.85
17-February-2021,16900.00,16900.00,16360.00,16739.90,16663.362321870318107383,28701,9264,478255162.00,14296,49.81,540.00,-160.10
16-February-2021,17600.00,17634.60,17141.25,17222.45,17286.161498544488039488,7901,2887,136577962.00,3613,45.73,493.35,-377.55
15-February-2021,17290.00,17500.00,17280.00,17484.50,17418.606123508043591074,1927,693,33565654.00,526,27.30,220.00,194.50
12-February-2021,17449.85,17500.00,17241.00,17286.10,17390.663798049340218014,3486,1273,60623854.00,1326,38.04,259.00,-163.75
11-February-2021,17167.70,17442.00,17165.55,17416.65,17360.118024691358024691,2025,671,35154239.00,688,33.98,276.45,248.95
10-February-2021,17396.90,17439.30,17083.80,17167.70,17232.100269380425022448,3341,1563,57572447.00,1376,41.19,355.50,-229.20
9-February-2021,17340.00,17510.70,17164.05,17325.80,17379.782240235814296241,2714,946,47168729.00,978,36.04,346.65,-14.20
8-February-2021,17199.95,17280.00,17107.35,17213.55,17221.472339230553215388,7122,1725,122651326.00,2108,29.60,172.65,13.60
5-February-2021,17244.00,17244.00,17019.95,17123.30,17080.321614063124250898,2503,947,42752045.00,1226,48.98,224.05,-120.70
4-February-2021,17250.00,17250.00,17054.80,17073.20,17166.105358902448268020,13193,907,226472428.00,12037,91.24,195.20,-176.80
3-February-2021,17247.45,17284.00,17064.35,17155.40,17179.343612334801762114,2270,930,38997110.00,528,23.26,219.65,-92.05
2-February-2021,17211.00,17328.10,16800.00,17189.35,17202.154465212876427829,3852,1545,66262699.00,1260,32.71,528.10,-21.65
1-February-2021,17162.10,17277.00,16996.45,17096.95,17113.036289050173556326,3169,1436,54231212.00,1303,41.12,280.55,-65.15
29-January-2021,17500.00,17500.00,16961.20,17068.70,17267.158640226628895184,2118,893,36571842.00,863,40.75,538.80,-431.30
28-January-2021,17401.00,17519.95,17205.75,17375.40,17472.729867083659108678,12790,1611,223476215.00,10833,84.70,314.20,-25.60
27-January-2021,17560.00,17590.00,17344.70,17547.65,17482.975875118259224219,2114,1217,36959011.00,900,42.57,245.30,-12.35
25-January-2021,17799.00,17799.00,17236.75,17443.60,17363.202422611036339165,3715,1294,64504297.00,1181,31.79,562.25,-355.40
22-January-2021,17999.00,17999.00,17300.00,17580.15,17696.775901765157329240,2606,899,46117798.00,1102,42.29,699.00,-418.85
21-January-2021,17769.00,17899.85,17660.00,17714.50,17762.055075102412380518,2197,885,39023235.00,717,32.64,239.85,-54.50
20-January-2021,17815.00,17938.35,17630.45,17677.75,17751.928246753246753246,3080,1327,54675939.00,1114,36.17,307.90,-137.25
19-January-2021,17650.05,17802.30,17650.05,17755.55,17744.046200607902735562,1645,705,29188956.00,528,32.10,152.25,105.50
18-January-2021,17801.00,18075.00,17567.05,17629.15,17820.280082377169755810,6798,2623,121142264.00,2230,32.80,507.95,-171.85
15-January-2021,18149.00,18238.10,17800.00,17872.25,17979.793690071141354778,3233,1400,58128673.00,1223,37.83,438.10,-276.75
14-January-2021,18000.00,18200.65,18000.00,18128.95,18053.678253249598364247,13694,1230,247227070.00,11394,83.20,200.65,128.95
13-January-2021,18005.00,18268.40,17961.55,18022.75,18105.935372918175235336,5524,2221,100017187.00,1488,26.94,306.85,17.75
12-January-2021,18387.00,18395.00,17957.80,18003.80,18113.168418593786498481,4281,2308,77542474.00,1985,46.37,437.20,-383.20
11-January-2021,18418.00,18538.25,18189.00,18392.90,18350.435336251492240350,2513,792,46114644.00,501,19.94,349.25,-25.10
8-January-2021,18242.00,18339.95,18002.00,18295.45,18164.311659893716786495,3199,1749,58107633.00,1173,36.67,337.95,53.45
7-January-2021,18611.95,18621.05,18073.00,18139.75,18274.035336856010568031,3028,1266,55333779.00,1146,37.85,548.05,-472.20
6-January-2021,18500.00,18606.00,18437.80,18510.60,18505.776517922457937088,2734,1293,50594793.00,1129,41.29,168.20,10.60
5-January-2021,18356.00,18615.95,18284.15,18571.60,18485.031171212468484987,4363,1691,80650191.00,1678,38.46,331.80,215.60
4-January-2021,18450.00,18572.40,18324.50,18388.25,18460.829737019554956169,2966,1308,54754821.00,1048,35.33,247.90,-61.75
1-January-2021,18380.00,18509.90,18304.15,18451.05,18447.337019907500502714,4973,1302,91738607.00,1109,22.30,205.75,71.05
31-December-2020,18050.00,18450.00,18050.00,18392.35,18347.941649196366177498,2862,1212,52511809.00,875,30.57,400.00,342.35
30-December-2020,18457.00,18460.00,18240.00,18398.55,18339.385353095030514385,4588,1718,84141100.00,1790,39.01,220.00,-58.45
29-December-2020,18666.00,18669.90,18171.90,18268.50,18338.857844099744747692,5093,1905,93399803.00,1768,34.71,498.00,-397.50
28-December-2020,18650.00,18785.95,18523.45,18598.25,18623.520909090909090909,3300,1404,61457619.00,935,28.33,262.50,-51.75
24-December-2020,18721.00,18821.45,18383.80,18577.95,18560.633513931888544891,2584,1202,47960677.00,803,31.08,437.65,-143.05
23-December-2020,18505.00,18817.70,18505.00,18723.35,18678.344708077845907757,3751,1207,70062471.00,1889,50.36,312.70,218.35
22-December-2020,18200.00,18667.20,18000.50,18586.10,18322.397401433691756272,4464,1385,81791182.00,1053,23.59,666.70,386.10
21-December-2020,18363.00,18524.90,18078.00,18172.55,18334.389982502187226596,4572,1662,83824831.00,1017,22.24,446.90,-190.45
18-December-2020,18394.00,18600.00,18190.00,18347.25,18461.666582724754469906,3971,1627,73311278.00,799,20.12,410.00,-46.75
17-December-2020,18325.00,18395.80,18156.00,18298.15,18311.159923664122137404,2620,1031,47975239.00,411,15.69,239.80,-26.85
16-December-2020,18480.00,18725.00,18255.15,18321.60,18469.259336315406220742,9613,3179,177544990.00,1662,17.29,469.85,-158.40
15-December-2020,18500.00,18552.40,18135.35,18191.75,18322.982412835544585004,3241,1319,59384786.00,888,27.40,417.05,-308.25
14-December-2020,18420.00,18679.20,18303.75,18585.40,18558.754861111111111111,8640,2660,160347642.00,2757,31.91,375.45,165.40
11-December-2020,18320.00,18457.85,18204.25,18403.00,18338.036898920510304219,5095,2058,93432298.00,1380,27.09,253.60,83.00
10-December-2020,17567.00,18411.40,17567.00,18363.50,18097.260755459743181179,10669,3584,193079675.00,3367,31.56,844.40,796.50
9-December-2020,17510.00,17661.00,17491.90,17561.50,17554.616570327552986512,1038,525,18221692.00,279,26.88,169.10,51.50
8-December-2020,17800.00,17800.00,17388.30,17517.30,17506.620827770360480640,2247,1107,39337377.00,507,22.56,411.70,-282.70
7-December-2020,17730.00,17899.00,17455.30,17560.15,17616.221374045801526717,3537,1521,62308575.00,1252,35.40,443.70,-169.85
4-December-2020,17487.00,17873.10,17487.00,17825.90,17700.493529411764705882,6800,3595,120363356.00,4223,62.10,386.10,338.90
3-December-2020,17524.00,17524.00,17329.50,17498.35,17299.296815834767641996,11620,922,201017829.00,10253,88.24,194.50,-25.65
2-December-2020,17538.80,17538.80,17150.05,17265.85,17259.860383944153577661,4011,1845,69229300.00,1864,46.47,388.75,-272.95
1-December-2020,18188.00,18188.00,17350.00,17417.15,17481.514392059553349875,4030,1935,70450503.00,1288,31.96,838.00,-770.85
27-November-2020,17835.00,18040.00,16949.95,17657.60,17752.581753787630353512,15247,4181,270673614.00,9287,60.91,1090.05,-177.40
26-November-2020,17490.00,17834.95,17280.30,17752.65,17511.298376480912681000,4558,2076,79816498.00,1710,37.52,554.65,262.65
25-November-2020,17754.00,17798.95,17325.00,17526.10,17432.827311793729110297,12566,2505,219060908.00,7532,59.94,473.95,-227.90
24-November-2020,17790.25,17950.00,17615.95,17679.90,17801.226923656075892184,6641,2732,118217948.00,2048,30.84,334.05,-110.35
23-November-2020,17549.95,17840.00,17472.00,17791.35,17708.069182389937106918,7314,3366,129516818.00,3992,54.58,368.00,241.40
20-November-2020,17006.55,17500.00,16933.90,17470.00,17395.874142367066895368,9328,3522,162268714.00,2719,29.15,566.10,463.45
19-November-2020,16865.00,17199.00,16801.00,16933.50,17083.383512544802867383,3906,1607,66727696.00,1154,29.54,398.00,68.50
18-November-2020,16949.95,16957.05,16678.05,16865.75,16812.684403669724770642,2725,1632,45814565.00,1036,38.02,279.00,-84.20
17-November-2020,16900.10,17061.00,16846.75,16983.20,16966.363190406976744186,5504,2592,93382863.00,2853,51.84,214.25,83.10
14-November-2020,16835.00,16869.90,16750.15,16842.10,16833.954459203036053130,1054,466,17742988.00,584,55.41,119.75,7.10
13-November-2020,16789.00,16886.95,16641.10,16825.95,16736.548334018922254216,14586,1877,244119294.00,12945,88.75,245.85,36.95
12-November-2020,16750.00,16975.65,16538.85,16729.70,16725.535848381905953870,5593,2442,93545922.00,2221,39.71,436.80,-20.30
11-November-2020,16750.00,16807.90,16458.70,16699.45,16618.123295704442163905,6821,3164,113352219.00,1991,29.19,349.20,-50.55
10-November-2020,17177.00,17330.05,16580.90,16607.90,16779.484692122463020295,8721,3369,146333886.00,3183,36.50,749.15,-569.10
9-November-2020,17270.00,17370.00,16868.45,17315.20,17196.608975296009355357,6841,2889,117642002.00,3528,51.57,501.55,45.20
6-November-2020,17280.00,17280.00,16907.80,17008.75,17022.051789077212806026,2124,1228,36154838.00,703,33.10,372.20,-271.25
5-November-2020,17000.00,17400.00,17000.00,17218.60,17255.205068588700302255,4301,1735,74214637.00,1043,24.25,400.00,218.60
4-November-2020,17100.00,17200.00,16852.00,16995.60,17065.197338228545204222,2179,1083,37185065.00,715,32.81,348.00,-104.40
3-November-2020,17200.00,17277.25,16558.45,16794.60,16906.397360442304262528,5607,1654,94794170.00,1831,32.66,718.80,-405.40
2-November-2020,17122.00,17359.45,16934.00,17110.20,17096.352207977207977207,2808,1461,48006557.00,1050,37.39,425.45,-11.80
30-October-2020,16925.00,17350.00,16920.00,17162.80,17192.322371177209886887,4774,2105,82076147.00,882,18.48,430.00,237.80
29-October-2020,16620.00,17210.25,16620.00,16861.45,16948.601061007957559681,5655,2896,95844339.00,2264,40.04,590.25,241.45
28-October-2020,17199.95,17295.40,16937.90,17119.95,17170.604408153942785359,17513,3327,300708795.00,13273,75.79,357.50,-80.00
