Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-January-2017,6000.00,6082.25,5990.00,6054.45,6050.480769230769230769,936,368,5663250.00,595,63.57,92.25,54.45
2-January-2017,6030.00,6083.00,5955.85,5993.25,6030.003082100231157517,63593,626,383465986.00,62419,98.15,127.15,-36.75
30-December-2016,5969.00,6040.00,5969.00,6029.80,6020.677918424753867791,711,273,4280702.00,431,60.62,71.00,60.80
29-December-2016,5880.00,6018.00,5880.00,5967.20,5972.287441235728676964,1489,522,8892736.00,707,47.48,138.00,87.20
28-December-2016,5898.40,5929.00,5865.30,5884.80,5898.740904079382579933,907,331,5350158.00,462,50.94,63.70,-13.60
27-December-2016,5824.00,5898.90,5788.05,5886.05,5859.653846153846153846,1560,478,9141060.00,861,55.19,110.85,62.05
26-December-2016,5774.55,5849.95,5750.00,5827.10,5794.252888318356867779,779,308,4513723.00,407,52.25,99.95,52.55
23-December-2016,5752.00,5937.95,5752.00,5826.75,5809.465699208443271767,1516,453,8807150.00,767,50.59,185.95,74.75
22-December-2016,5850.00,5850.00,5755.00,5771.80,5786.981880341880341880,2925,923,16926922.00,1421,48.58,95.00,-78.20
21-December-2016,5920.00,5946.90,5840.00,5857.10,5887.193121693121693121,2268,1118,13352154.00,1212,53.44,106.90,-62.90
20-December-2016,6019.40,6038.45,5904.00,5934.30,5965.103466386554621848,1904,793,11357557.00,1004,52.73,134.45,-85.10
19-December-2016,6099.00,6099.00,5985.05,6019.40,6029.156929347826086956,1472,586,8874919.00,851,57.81,113.95,-79.60
16-December-2016,6166.60,6229.05,5953.95,6079.05,6092.918677390527256478,2238,952,13635952.00,820,36.64,275.10,-87.55
15-December-2016,6200.05,6262.00,6150.00,6166.55,6181.947745901639344262,976,462,6033581.00,418,42.83,112.00,-33.50
14-December-2016,6345.00,6352.60,6200.00,6235.80,6265.580801944106925880,823,266,5156573.00,645,78.37,152.60,-109.20
13-December-2016,6313.00,6338.00,6288.10,6327.45,6324.818548387096774193,248,98,1568555.00,125,50.40,49.90,14.45
12-December-2016,6350.00,6362.90,6280.00,6324.35,6309.837282780410742496,1899,536,11982381.00,1027,54.08,82.90,-25.65
9-December-2016,6339.05,6388.85,6275.00,6369.45,6345.511158342189160467,1882,382,11942252.00,1080,57.39,113.85,30.40
8-December-2016,6310.00,6362.25,6250.60,6319.20,6322.150889271371199082,1743,665,11019509.00,895,51.35,111.65,9.20
7-December-2016,6263.95,6312.50,6260.00,6293.20,6287.751336898395721925,374,144,2351619.00,145,38.77,52.50,29.25
6-December-2016,6248.00,6290.00,6217.55,6263.95,6269.712592826670880075,12658,351,79362022.00,12081,95.44,72.45,15.95
5-December-2016,6213.00,6350.00,6143.80,6248.85,6299.223602484472049689,1288,571,8113400.00,469,36.41,206.20,35.85
2-December-2016,6281.05,6281.05,6211.35,6238.15,6234.913978494623655913,1302,283,8117858.00,753,57.83,69.70,-42.90
1-December-2016,6314.40,6330.05,6200.00,6281.05,6254.347258485639686684,2681,836,16767905.00,1017,37.93,130.05,-33.35
30-November-2016,6320.00,6401.15,6199.95,6256.65,6298.115846994535519125,2745,811,17288328.00,993,36.17,201.20,-63.35
29-November-2016,6295.00,6499.90,6240.00,6270.90,6382.394690883688438700,2863,1065,18272796.00,674,23.54,259.90,-24.10
28-November-2016,6226.00,6310.00,6132.00,6291.40,6228.902906059923406172,4439,1240,27650100.00,694,15.63,178.00,65.40
25-November-2016,6164.30,6199.00,6120.00,6159.75,6152.937304075235109717,957,389,5888361.00,410,42.84,79.00,-4.55
24-November-2016,5924.35,6222.00,5903.00,6139.05,6057.344798301486199575,2355,1190,14265047.00,1097,46.58,319.00,214.70
23-November-2016,5892.95,5991.95,5892.95,5962.80,5935.119283065512978986,1618,661,9603023.00,784,48.45,99.00,69.85
22-November-2016,5918.75,5959.00,5864.00,5892.95,5896.364389233954451345,1449,513,8543832.00,834,57.56,95.00,-25.80
21-November-2016,5920.00,5939.95,5838.30,5855.00,5873.963114754098360655,1220,529,7166235.00,525,43.03,101.65,-65.00
18-November-2016,5980.00,5980.00,5860.00,5892.25,5897.790019193857965451,2605,804,15363743.00,1408,54.05,120.00,-87.75
17-November-2016,6014.95,6015.00,5934.00,5958.10,5980.215012722646310432,1572,601,9400898.00,954,60.69,81.00,-56.85
16-November-2016,6075.80,6100.00,5930.10,5977.60,6013.169157489949309561,22884,638,137605363.00,8456,36.95,169.90,-98.20
15-November-2016,6300.00,6300.00,5946.00,5980.10,6025.515526077781127524,3317,1218,19986635.00,1700,51.25,354.00,-319.90
11-November-2016,6429.00,6429.00,6170.00,6270.15,6274.048728813559322033,3304,935,20729457.00,2324,70.34,259.00,-158.85
10-November-2016,6470.00,6526.00,6398.40,6429.00,6431.137119113573407202,1444,763,9286562.00,811,56.16,127.60,-41.00
9-November-2016,6350.00,6450.00,5701.05,6398.40,6268.250151179197742390,4961,1314,31096789.00,1975,39.81,748.95,48.40
8-November-2016,6528.00,6528.00,6410.00,6451.05,6461.472060535506402793,1718,565,11100809.00,661,38.47,118.00,-76.95
7-November-2016,6654.00,6712.55,6410.00,6527.05,6590.341019674211973767,4727,1052,31152542.00,3428,72.52,302.55,-126.95
4-November-2016,6726.70,6776.95,6621.00,6637.15,6662.845083487940630797,2156,729,14365094.00,1084,50.28,155.95,-89.55
3-November-2016,6748.55,6788.50,6651.00,6711.95,6728.389575173244953299,3319,734,22331525.00,1792,53.99,137.50,-36.60
2-November-2016,6786.10,6812.00,6683.00,6748.55,6715.075830815709969788,3310,1045,22226901.00,1644,49.67,129.00,-37.55
1-November-2016,6942.65,6968.40,6750.00,6786.10,6869.007910074937552039,2402,860,16499357.00,1047,43.59,218.40,-156.55
30-October-2016,7020.00,7061.95,6913.10,6942.65,6981.193778684344722080,1961,248,13690121.00,1251,63.79,148.85,-77.35
28-October-2016,6915.00,6990.00,6861.20,6960.50,6947.660460558549730524,2041,964,14180175.00,736,36.06,128.80,45.50
27-October-2016,6799.00,6986.00,6757.00,6924.75,6861.123325129887886245,3657,920,25091128.00,2090,57.15,229.00,125.75
26-October-2016,6782.75,6839.00,6746.00,6821.70,6801.806684141546526867,1526,490,10379557.00,796,52.16,93.00,38.95
25-October-2016,6820.45,6835.05,6761.00,6782.75,6784.282848545636910732,997,451,6763930.00,408,40.92,74.05,-37.70
24-October-2016,6874.95,6875.00,6810.00,6847.50,6846.488872936109117013,1393,517,9537159.00,742,53.27,65.00,-27.45
21-October-2016,6793.00,6891.65,6790.00,6852.85,6853.453289473684210526,1520,614,10417249.00,612,40.26,101.65,59.85
20-October-2016,6787.20,6900.00,6745.00,6835.45,6832.659664478482859226,6855,1349,46837882.00,4297,62.68,155.00,48.25
19-October-2016,6830.00,6860.00,6736.45,6787.20,6813.150537634408602150,1674,627,11405214.00,687,41.04,123.55,-42.80
18-October-2016,6768.00,6863.70,6700.00,6825.00,6814.818197633959638135,5748,1534,39171575.00,3409,59.31,163.70,57.00
17-October-2016,6870.00,6870.00,6720.00,6772.15,6781.193914956011730205,2728,931,18499097.00,1134,41.57,150.00,-97.85
14-October-2016,6564.00,6890.00,6500.00,6859.05,6811.000106541657788195,9386,1647,63928047.00,5249,55.92,390.00,295.05
13-October-2016,6630.95,6630.95,6525.00,6539.85,6538.364864864864864864,3108,836,20321238.00,2511,80.79,105.95,-91.10
10-October-2016,6729.00,6750.00,6604.00,6630.95,6662.910277324632952691,1226,479,8168728.00,599,48.86,146.00,-98.05
7-October-2016,6720.00,6740.00,6600.00,6719.25,6692.777946768060836501,1315,496,8801003.00,602,45.78,140.00,-0.75
6-October-2016,6758.05,6819.95,6665.00,6709.85,6718.692109038737446197,3485,1043,23414642.00,1640,47.06,154.95,-48.20
5-October-2016,6685.00,6788.45,6617.00,6758.40,6705.660836177474402730,2344,862,15718069.00,1162,49.57,171.45,73.40
4-October-2016,6600.00,6689.95,6587.85,6650.05,6622.206648697214734950,3339,1177,22111548.00,1765,52.86,102.10,50.05
3-October-2016,6478.95,6630.00,6457.30,6596.70,6559.851756364808250080,3103,1078,20355220.00,1551,49.98,172.70,117.75
30-September-2016,6370.05,6480.00,6316.60,6428.20,6397.266375545851528384,1603,697,10254818.00,541,33.75,163.40,58.15
29-September-2016,6475.00,6499.00,6226.00,6335.55,6353.397920277296360485,2885,1257,18329553.00,995,34.49,273.00,-139.45
28-September-2016,6499.00,6499.00,6428.00,6450.30,6452.313456889605157131,1241,410,8007321.00,583,46.98,71.00,-48.70
27-September-2016,6475.00,6510.30,6431.30,6486.90,6463.664406779661016949,1180,465,7627124.00,464,39.32,79.00,11.90
26-September-2016,6500.00,6522.00,6401.40,6505.15,6465.295924394565859421,1693,787,10945746.00,686,40.52,120.60,5.15
23-September-2016,6486.45,6537.45,6333.00,6456.70,6471.653846153846153846,2314,815,14975407.00,664,28.69,204.45,-29.75
22-September-2016,6329.00,6525.00,6329.00,6486.45,6442.812027231467473524,2644,816,17034795.00,1495,56.54,196.00,157.45
21-September-2016,6341.00,6350.25,6278.00,6322.35,6312.626952253458277554,2241,712,14146597.00,1465,65.37,72.25,-18.65
20-September-2016,6390.00,6390.00,6317.70,6333.60,6341.223404255319148936,1316,449,8345050.00,581,44.15,72.30,-56.40
19-September-2016,6411.00,6447.15,6301.00,6332.70,6359.704435483870967741,2480,714,15772067.00,1590,64.11,146.15,-78.30
16-September-2016,6305.00,6464.85,6305.00,6416.25,6409.117168818747010999,2091,723,13401464.00,945,45.19,159.85,111.25
15-September-2016,6302.25,6345.00,6255.00,6296.15,6288.686876745113681691,2507,1029,15765738.00,1041,41.52,90.00,-6.10
14-September-2016,6440.45,6485.00,6200.00,6302.25,6361.340793918918918918,7104,1933,45190965.00,2939,41.37,285.00,-138.20
12-September-2016,6507.00,6507.00,6402.45,6435.30,6438.964661654135338345,1330,402,8563823.00,842,63.31,104.55,-71.70
9-September-2016,6445.00,6530.25,6417.00,6506.80,6471.304930332261521972,1866,731,12075455.00,622,33.33,113.25,61.80
8-September-2016,6500.00,6500.00,6401.10,6426.95,6449.468949044585987261,2512,959,16201066.00,1259,50.12,98.90,-73.05
7-September-2016,6569.25,6569.25,6455.00,6478.95,6491.215088282504012841,1869,756,12132081.00,509,27.23,114.25,-90.30
6-September-2016,6470.00,6590.00,6441.35,6569.25,6519.151933701657458563,2172,822,14159598.00,1164,53.59,148.65,99.25
2-September-2016,6515.10,6526.00,6436.00,6449.25,6465.669193934557063048,2506,962,16202967.00,1243,49.60,90.00,-65.85
1-September-2016,6543.00,6705.00,6480.10,6503.90,6557.573684210526315789,2470,995,16197207.00,1252,50.69,224.90,-39.10
31-August-2016,6705.40,6739.20,6490.00,6559.50,6615.876082704666107851,7158,1640,47356441.00,3977,55.56,249.20,-145.90
30-August-2016,6778.30,6788.55,6671.25,6705.40,6734.977243051669464652,5361,1156,36106213.00,3361,62.69,117.30,-72.90
29-August-2016,6843.00,6843.00,6735.95,6778.30,6771.067609096496619545,1627,526,11016527.00,971,59.68,107.05,-64.70
26-August-2016,6836.00,6860.00,6807.00,6821.55,6842.204899777282850779,898,265,6144300.00,407,45.32,53.00,-14.45
25-August-2016,6835.00,6845.00,6815.00,6830.80,6830.038724373576309794,878,254,5996774.00,531,60.48,30.00,-4.20
24-August-2016,6743.10,6869.00,6743.10,6824.50,6840.590317919075144508,2768,720,18934754.00,1646,59.47,125.90,81.40
23-August-2016,6801.00,6850.00,6660.00,6808.20,6811.956570155902004454,1796,689,12234274.00,586,32.63,190.00,7.20
22-August-2016,6720.00,6800.00,6705.00,6796.60,6772.933534743202416918,662,256,4483682.00,334,50.45,95.00,76.60
19-August-2016,6700.55,6760.80,6700.55,6722.90,6728.006188118811881188,808,370,5436229.00,296,36.63,60.25,22.35
18-August-2016,6756.35,6770.00,6680.00,6699.65,6724.400267737617135207,1494,503,10046254.00,596,39.89,90.00,-56.70
17-August-2016,6785.00,6806.05,6681.05,6711.40,6732.344916344916344916,1554,574,10462064.00,550,35.39,125.00,-73.60
16-August-2016,6865.00,6866.00,6725.00,6771.90,6771.049042145593869731,1305,536,8836219.00,602,46.13,141.00,-93.10
12-August-2016,6829.00,6958.40,6819.30,6865.45,6899.736284289276807980,3208,1232,22134354.00,1165,36.32,139.10,36.45
11-August-2016,6856.85,6869.75,6782.20,6827.70,6824.398305084745762711,590,279,4026395.00,239,40.51,87.55,-29.15
10-August-2016,6895.00,6920.00,6766.00,6811.30,6830.505405405405405405,1850,506,12636435.00,1281,69.24,154.00,-83.70
9-August-2016,6883.05,6899.00,6802.00,6869.60,6847.301093355761143818,2378,718,16282882.00,1341,56.39,97.00,-13.45
8-August-2016,6855.35,6894.90,6750.00,6851.85,6819.127920560747663551,1712,666,11674347.00,822,48.01,144.90,-3.50
5-August-2016,6899.00,6899.00,6810.80,6819.10,6836.886910062333036509,1123,545,7677824.00,459,40.87,88.20,-79.90
4-August-2016,6809.00,6900.00,6747.30,6787.15,6801.667816658452439625,2029,881,13800584.00,737,36.32,152.70,-21.85
3-August-2016,6835.00,6969.00,6758.00,6808.40,6864.529606472968002942,2719,1184,18664656.00,694,25.52,211.00,-26.60
2-August-2016,6993.65,7099.00,6802.65,6832.25,6943.361048689138576779,2670,1190,18538774.00,674,25.24,296.35,-161.40
1-August-2016,7165.60,7230.00,6877.20,6946.95,7019.194947080914988050,5858,2131,41118444.00,1697,28.97,352.80,-218.65
29-July-2016,7225.50,7390.00,7025.00,7165.60,7181.132761378508070379,6877,2013,49384650.00,2644,38.45,365.00,-59.90
28-July-2016,7070.00,7285.00,7070.00,7222.95,7181.574145616641901931,3365,1057,24165997.00,1745,51.86,215.00,152.95
27-July-2016,7150.00,7150.00,7030.00,7053.00,7067.901550910316925151,1483,646,10481698.00,612,41.27,120.00,-97.00
26-July-2016,7110.00,7204.95,7067.05,7140.80,7140.609282245008094981,1853,731,13231549.00,693,37.40,137.90,30.80
25-July-2016,7069.90,7155.00,7000.00,7106.30,7096.816159782115297321,2203,909,15634286.00,869,39.45,155.00,36.40
22-July-2016,6838.00,7124.00,6830.00,7068.15,7004.119267357660088030,7043,1988,49330012.00,3118,44.27,294.00,230.15
21-July-2016,6665.60,6875.00,6582.20,6833.60,6770.624302692214406985,4123,1284,27915284.00,1603,38.88,292.80,168.00
20-July-2016,6634.00,6675.00,6634.00,6659.70,6659.418314703353396388,2326,680,15489807.00,1387,59.63,41.00,25.70
19-July-2016,6594.65,6660.00,6587.65,6634.70,6623.997821350762527233,918,427,6080830.00,374,40.74,72.35,40.05
18-July-2016,6611.00,6660.00,6582.75,6597.30,6619.876056338028169014,1420,624,9400224.00,703,49.51,77.25,-13.70
15-July-2016,6560.05,6655.00,6560.05,6628.75,6617.052241715399610136,2565,891,16972739.00,1254,48.89,94.95,68.70
14-July-2016,6575.00,6599.00,6536.35,6551.05,6578.340012763241863433,7835,406,51541294.00,7415,94.64,62.65,-23.95
13-July-2016,6474.95,6594.95,6474.95,6582.35,6522.839673586943477739,16666,1063,108709646.00,15313,91.88,120.00,107.40
12-July-2016,6504.00,6504.00,6420.10,6422.75,6435.490825688073394495,872,324,5611748.00,353,40.48,83.90,-81.25
11-July-2016,6432.20,6499.00,6414.00,6482.60,6437.827112462006079027,8225,1446,52951128.00,6838,83.14,85.00,50.40
8-July-2016,6508.65,6508.65,6400.00,6420.40,6414.038049117952265652,2891,413,18542984.00,2347,81.18,108.65,-88.25
7-July-2016,6515.00,6570.00,6498.00,6508.65,6524.639410187667560321,746,334,4867381.00,318,42.63,72.00,-6.35
5-July-2016,6488.10,6549.35,6488.10,6531.95,6532.748051948051948051,385,192,2515108.00,239,62.08,61.25,43.85
4-July-2016,6500.00,6551.00,6491.00,6520.80,6532.379137412236710130,997,415,6512782.00,597,59.88,60.00,20.80
1-July-2016,6527.25,6534.00,6470.00,6507.40,6512.664715274081958488,1879,655,12237297.00,947,50.40,64.00,-19.85
30-June-2016,6443.65,6541.20,6443.65,6488.75,6498.296012269938650306,1956,781,12710667.00,993,50.77,97.55,45.10
29-June-2016,6450.00,6492.85,6436.00,6443.65,6462.136331693605059732,1423,600,9195620.00,676,47.51,56.85,-6.35
28-June-2016,6494.95,6497.75,6433.05,6456.65,6474.692307692307692307,689,391,4461063.00,335,48.62,64.70,-38.30
27-June-2016,6447.00,6532.10,6425.30,6445.35,6485.077715355805243445,1068,592,6926063.00,294,27.53,106.80,-1.65
24-June-2016,6366.00,6514.40,6226.00,6477.60,6381.634231805929919137,7420,1223,47351726.00,1752,23.61,288.40,111.60
23-June-2016,6515.00,6525.00,6403.25,6429.15,6446.753860127157129881,1101,539,7097876.00,422,38.33,121.75,-85.85
22-June-2016,6535.15,6555.00,6460.00,6490.30,6512.229285714285714285,1400,557,9117121.00,379,27.07,95.00,-44.85
21-June-2016,6548.15,6590.45,6490.00,6521.65,6530.016962524654832347,2535,954,16553593.00,399,15.74,100.45,-26.50
20-June-2016,6462.20,6593.85,6428.65,6518.20,6540.565780504430811179,2934,1041,19190020.00,733,24.98,165.20,56.00
17-June-2016,6524.35,6549.95,6440.00,6462.20,6485.142857142857142857,798,364,5175144.00,269,33.71,109.95,-62.15
16-June-2016,6513.25,6551.60,6466.95,6494.90,6504.170074812967581047,2005,804,13040861.00,624,31.12,84.65,-18.35
15-June-2016,6551.00,6585.00,6460.00,6482.75,6521.240858505564387917,3774,1242,24611163.00,1484,39.32,125.00,-68.25
14-June-2016,6538.00,6598.95,6511.00,6584.90,6566.109960552268244575,2028,784,13316071.00,875,43.15,87.95,46.90
13-June-2016,6500.00,6565.00,6465.05,6529.05,6525.236595174262734584,2984,1198,19471306.00,651,21.82,99.95,29.05
10-June-2016,6431.05,6600.00,6430.00,6532.40,6504.170658682634730538,2338,1002,15206751.00,1336,57.14,170.00,101.35
9-June-2016,6450.00,6535.00,6390.00,6443.50,6464.453141091658084449,1942,926,12553968.00,455,23.43,145.00,-6.50
8-June-2016,6450.30,6535.00,6396.00,6474.80,6440.300279329608938547,2148,1164,13833765.00,889,41.39,139.00,24.50
7-June-2016,6539.50,6690.00,6391.00,6450.45,6550.148898558607560511,7354,3032,48169795.00,2110,28.69,299.00,-89.05
6-June-2016,6295.00,6700.00,6200.00,6459.35,6406.796187683284457478,4092,899,26216610.00,2699,65.96,500.00,164.35
3-June-2016,6329.15,6371.00,6250.00,6279.40,6297.049041713641488162,1774,764,11170965.00,532,29.99,121.00,-49.75
2-June-2016,6336.00,6399.00,6280.00,6314.15,6334.857535501603298213,2183,1007,13828994.00,662,30.33,119.00,-21.85
1-June-2016,6125.00,6422.00,6125.00,6352.55,6326.149701515383437930,6533,2631,41328736.00,2692,41.21,297.00,227.55
31-May-2016,6255.00,6346.00,6026.15,6098.85,6208.400309119010819165,2588,1325,16067340.00,879,33.96,319.85,-156.15
30-May-2016,6183.95,6343.00,6183.95,6286.30,6271.590083597578552897,3469,1346,21756146.00,1377,39.69,159.05,102.35
27-May-2016,6165.00,6240.00,6131.05,6169.90,6193.100164203612479474,3045,1278,18857990.00,1203,39.51,108.95,4.90
26-May-2016,6116.00,6160.00,5960.10,6114.70,6093.498770743700061462,3254,958,19828245.00,1246,38.29,199.90,-1.30
25-May-2016,6034.00,6160.00,6029.90,6127.65,6121.980838323353293413,2505,1007,15335562.00,834,33.29,130.10,93.65
24-May-2016,5984.70,6076.00,5801.00,6011.55,6019.414172034861690034,2639,1112,15885234.00,924,35.01,275.00,26.85
23-May-2016,6025.00,6041.20,5932.95,5954.35,5982.795935647756138865,1181,656,7065682.00,296,25.06,108.25,-70.65
20-May-2016,6091.90,6168.35,5900.00,5975.40,6070.531555555555555555,2250,899,13658696.00,844,37.51,268.35,-116.50
19-May-2016,6162.00,6186.05,5852.00,6091.90,6114.965312642628936558,2191,852,13397889.00,1021,46.60,334.05,-70.10
18-May-2016,6208.80,6230.00,6125.00,6193.05,6165.178571428571428571,1988,761,12256375.00,763,38.38,105.00,-15.75
17-May-2016,6262.00,6262.00,6156.00,6208.80,6202.726029798422436459,5705,1782,35386552.00,1628,28.54,106.00,-53.20
16-May-2016,6135.00,6350.00,5994.10,6284.45,6192.660798712403178754,9941,2869,61561241.00,3179,31.98,355.90,149.45
13-May-2016,5710.30,6156.00,5710.00,6128.50,6017.389151474229124465,22215,6031,133676300.00,6412,28.86,446.00,418.20
12-May-2016,5660.00,5725.00,5601.25,5703.85,5684.538000000000000000,5000,1574,28422690.00,1999,39.98,123.75,43.85
11-May-2016,5550.00,5609.90,5490.00,5597.35,5573.332877959927140255,2196,879,12239039.00,1147,52.23,119.90,47.35
10-May-2016,5525.00,5557.45,5500.00,5523.10,5525.266963843486874690,2019,806,11155514.00,1150,56.96,57.45,-1.90
9-May-2016,5640.00,5692.75,5500.00,5523.65,5582.418574514038876889,2315,881,12923299.00,1163,50.24,192.75,-116.35
6-May-2016,5540.00,5640.00,5540.00,5630.95,5616.758675920982381206,1873,1002,10520189.00,844,45.06,100.00,90.95
5-May-2016,5559.90,5572.95,5501.00,5534.55,5533.906565656565656565,1584,732,8765708.00,665,41.98,71.95,-25.35
4-May-2016,5606.00,5656.00,5530.00,5554.45,5581.181694453895882953,2939,1024,16403093.00,1406,47.84,126.00,-51.55
3-May-2016,5755.15,5793.00,5580.00,5605.20,5658.173682466025853496,3017,1203,17070710.00,1279,42.39,213.00,-149.95
2-May-2016,5752.00,5791.00,5714.30,5743.90,5755.421804023361453601,1541,536,8869105.00,890,57.75,76.70,-8.10
29-April-2016,5905.00,5905.00,5723.35,5743.85,5789.368114573497009757,6354,1467,36785645.00,1781,28.03,181.65,-161.15
28-April-2016,5892.00,5949.00,5771.00,5910.80,5860.730609991719569417,7246,1723,42466854.00,653,9.01,178.00,18.80
27-April-2016,5847.00,5971.40,5823.95,5888.70,5889.271194528391919834,6287,972,37025848.00,523,8.32,147.45,41.70
26-April-2016,5850.00,5886.75,5812.00,5847.10,5843.136574074074074074,2592,902,15145410.00,520,20.06,74.75,-2.90
25-April-2016,5960.35,6023.00,5861.00,5889.30,5915.910276073619631901,2608,762,15428694.00,539,20.67,162.00,-71.05
22-April-2016,5964.00,6026.95,5930.10,5955.25,5975.129053606882859033,1511,630,9028420.00,471,31.17,96.85,-8.75
21-April-2016,6035.70,6035.70,5951.10,5970.85,5954.262606027023571032,23461,772,139692955.00,21541,91.82,84.60,-64.85
20-April-2016,6184.95,6190.00,6002.00,6035.70,6087.610778443113772455,3340,1370,20332620.00,1428,42.75,188.00,-149.25
18-April-2016,6130.00,6249.00,6055.00,6125.00,6161.238055322715842414,8351,2132,51452499.00,1555,18.62,194.00,-5.00
13-April-2016,6142.00,6171.00,6012.10,6105.80,6081.198530713400601876,11298,2331,68705381.00,1519,13.44,158.90,-36.20
12-April-2016,6039.80,6180.00,6039.80,6135.80,6112.540789996030170702,10076,2341,61589961.00,2475,24.56,140.20,96.00
11-April-2016,5990.00,5999.00,5850.05,5872.70,5903.372841726618705035,5560,1035,32822753.00,1704,30.65,148.95,-117.30
8-April-2016,5916.00,5994.00,5855.00,5962.35,5902.983458832242932971,8101,1471,47820069.00,1048,12.94,139.00,46.35
7-April-2016,5790.00,5921.00,5749.95,5861.00,5816.820726172465960665,10576,2084,61518696.00,2571,24.31,171.05,71.00
6-April-2016,5741.95,5741.95,5698.65,5708.15,5716.409349336702463676,3166,1065,18098152.00,691,21.83,43.30,-33.80
5-April-2016,5360.00,5780.00,5360.00,5724.05,5696.862448009506833036,13464,2254,76702556.00,950,7.06,420.00,364.05
4-April-2016,5660.00,5720.00,5624.00,5674.85,5676.530692857905412618,9367,1722,53172063.00,772,8.24,96.00,14.85
1-April-2016,5665.00,5667.15,5572.75,5634.95,5612.481252575195714874,2427,1191,13621492.00,550,22.66,94.40,-30.05
31-March-2016,5451.00,5826.15,5405.10,5768.95,5643.606650246305418719,4060,1434,22913043.00,1778,43.79,421.05,317.95
30-March-2016,5373.00,5503.00,5372.80,5476.40,5445.189342806394316163,2815,1064,15328208.00,1296,46.04,130.20,103.40
29-March-2016,5337.00,5387.00,5300.00,5326.15,5351.584691708008504606,1411,530,7551086.00,599,42.45,87.00,-10.85
28-March-2016,5261.15,5378.90,5261.15,5353.15,5320.688895686754359131,6538,1661,34786664.00,4213,64.44,117.75,92.00
23-March-2016,5299.00,5346.70,5210.00,5261.15,5273.645418326693227091,3514,1209,18531590.00,1301,37.02,136.70,-37.85
22-March-2016,5270.00,5349.40,5160.00,5274.35,5250.275727864680787366,13361,2275,70148934.00,5041,37.73,189.40,4.35
21-March-2016,5255.00,5280.00,5200.00,5258.10,5240.707968293700458906,14382,2473,75371862.00,4854,33.75,80.00,3.10
18-March-2016,5089.15,5252.40,5039.45,5199.60,5102.445157082291553429,9199,1456,46937393.00,2325,25.27,212.95,110.45
17-March-2016,5055.00,5104.80,5046.80,5089.15,5085.901244167962674961,3858,616,19621407.00,1327,34.40,58.00,34.15
16-March-2016,5079.95,5079.95,5010.00,5026.40,5032.499674831996531541,4613,880,23214921.00,826,17.91,69.95,-53.55
15-March-2016,5103.00,5103.00,5046.00,5053.85,5059.782923299565846599,6910,937,34963100.00,1124,16.27,57.00,-49.15
14-March-2016,5163.00,5163.00,5099.00,5105.00,5109.288233734087694483,22624,985,115592537.00,16403,72.50,64.00,-58.00
11-March-2016,5219.45,5245.25,5104.95,5176.15,5153.008886255924170616,5064,1716,26094837.00,1015,20.04,140.30,-43.30
10-March-2016,5250.00,5250.00,5116.00,5185.85,5155.813454395377631035,2423,822,12492536.00,1027,42.39,134.00,-64.15
9-March-2016,5282.45,5282.50,5175.10,5203.65,5218.929187192118226600,1624,668,8475541.00,851,52.40,107.40,-78.80
8-March-2016,5299.90,5414.65,5206.00,5304.45,5319.300854700854700854,5265,1538,28006119.00,2036,38.67,208.65,4.55
4-March-2016,5225.00,5322.05,5180.95,5283.10,5264.062220694396699896,2909,593,15313157.00,1691,58.13,141.10,58.10
3-March-2016,5095.05,5242.85,5088.05,5213.50,5182.675466284074605451,3485,965,18061624.00,1117,32.05,154.80,118.45
2-March-2016,5053.00,5104.60,5049.00,5082.35,5077.100095328884652049,2098,724,10651756.00,951,45.33,55.60,29.35
1-March-2016,5036.00,5106.00,5006.00,5049.00,5050.905553456743483188,2647,813,13369747.00,1151,43.48,100.00,13.00
29-February-2016,5120.00,5120.05,4990.00,5012.35,5103.055228009822918069,96509,1667,492490757.00,93565,96.95,130.05,-107.65
26-February-2016,5172.95,5180.00,5090.05,5107.45,5117.500618811881188118,1616,679,8269881.00,961,59.47,89.95,-65.50
25-February-2016,5202.00,5202.00,5100.00,5133.10,5132.259005927952576379,4386,961,22510088.00,2931,66.83,102.00,-68.90
24-February-2016,5190.25,5211.65,5132.00,5200.00,5189.436849925705794947,2019,659,10477473.00,1156,57.26,79.65,9.75
23-February-2016,5276.25,5280.00,5175.35,5190.25,5205.569850039463299131,1267,440,6595457.00,698,55.09,104.65,-86.00
22-February-2016,5210.00,5295.00,5204.00,5274.25,5277.102523527069229318,95422,603,503551677.00,93930,98.44,91.00,64.25
19-February-2016,5206.00,5225.00,5177.00,5208.15,5197.094127111826226870,1243,360,6459988.00,560,45.05,48.00,2.15
18-February-2016,5090.00,5206.00,5074.00,5178.50,5160.142113690952762209,2498,745,12890035.00,797,31.91,132.00,88.50
17-February-2016,5070.00,5098.00,5038.00,5070.20,5065.193569553805774278,1524,452,7719355.00,697,45.73,60.00,0.20
16-February-2016,5100.00,5110.20,5029.00,5063.45,5063.624342419894787183,4182,1029,21176077.00,2615,62.53,81.20,-36.55
15-February-2016,5072.90,5115.05,5020.00,5059.15,5065.738867117919486996,2807,844,14219529.00,1370,48.81,95.05,-13.75
