,State,District,Latitude,Longitude,State name,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Households_with_Internet
235,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,MADHYA PRADESH,1563715,805359,758356,925369,1376591,174259,2355,2330,382,3518
236,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,MADHYA PRADESH,2185793,1112725,1073068,1077338,2051219,116202,2261,1607,328,2388
237,Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,MADHYA PRADESH,704524,351913,352611,378714,605435,6736,4238,260,61,554
238,Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,MADHYA PRADESH,1241519,649362,592157,653980,1172248,49203,1208,3271,529,2482
239,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,MADHYA PRADESH,2032036,1090327,941709,1357210,1835299,141735,4119,24790,4361,15779
240,Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,MADHYA PRADESH,570465,294838,275627,352550,527462,38640,683,676,93,986
241,Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,MADHYA PRADESH,1241350,648725,592625,810644,1175203,52269,4453,3127,1550,2871
242,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,MADHYA PRADESH,3276697,1699627,1577070,2309130,2728225,415142,18523,25696,11496,48691
243,Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,MADHYA PRADESH,2463289,1277278,1186011,1756468,2159065,203652,23142,13256,4320,20443
244,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,MADHYA PRADESH,1025048,515023,510025,352081,960925,15733,38423,141,65,744
245,Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,MADHYA PRADESH,1292042,662013,630029,790773,1240650,37232,3158,1167,157,2179
246,Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,MADHYA PRADESH,1054905,525272,529633,604962,849518,16558,12450,436,297,912
247,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,MADHYA PRADESH,1340411,682851,657560,834591,1192588,125548,1120,849,242,2324
248,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,MADHYA PRADESH,1965970,1068417,897553,1179685,1875495,76159,1092,557,3234,1781
249,Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,MADHYA PRADESH,826067,422653,403414,508834,741288,67324,1508,1110,224,1945
250,Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,MADHYA PRADESH,1016520,533480,483040,552559,974748,35214,418,186,37,653
